"id","code","name","reconcile","user_type:id","active","check_history","company_id:id","parent_id:id","currency_mode","type"
"0","0","POC",0,"vista",1,0,"base.main_company",,"current","view"
"1","1","Classe Disponibilidades",0,"vista",1,0,"base.main_company","0","current","view"
"2","2","Classe Terceiros",0,"vista",1,0,"base.main_company","0","current","view"
"3","3","Classe Existências",0,"vista",1,0,"base.main_company","0","current","view"
"4","4","Classe Imobilizado",0,"vista",1,0,"base.main_company","0","current","view"
"5","5","Classe Capital",0,"vista",1,0,"base.main_company","0","current","view"
"6","6","Classe Custos",0,"vista",1,0,"base.main_company","0","current","view"
"7","7","Classe Vendas",0,"vista",1,0,"base.main_company","0","current","view"
"8","8","Classe Resultados",0,"vista",1,0,"base.main_company","0","current","view"
"11","11","Caixa",0,"razao",1,0,"base.main_company","1","current","view"
"111","111","Caixa A",0,"dinheiro",1,0,"base.main_company","11","current","other"
"12","12","Depósitos à Ordem",0,"razao",1,0,"base.main_company","1","current","view"
"1218","1218","Totta & Açores",0,"dinheiro",1,0,"base.main_company","12","current","other"
"1235","1235","Caixa Geral Depósitos",0,"vista",1,0,"base.main_company","12","current","view"
"1238","1238","BANIF",0,"dinheiro",1,0,"base.main_company","12","current","other"
"13","13","Depósitos a Prazo",0,"razao",1,0,"base.main_company","1","current","view"
"14","14","Outros Depósitos Bancários",0,"razao",1,0,"base.main_company","1","current","view"
"15","15","Títulos Negociáveis",0,"razao",1,0,"base.main_company","1","current","view"
"151","151","Acções",0,"dinheiro",1,0,"base.main_company","15","current","other"
"152","152","Obrigações e Títulos de Particip.",0,"dinheiro",1,0,"base.main_company","15","current","other"
"153","153","Títulos da Dívida Pública",0,"dinheiro",1,0,"base.main_company","15","current","other"
"159","159","Outros Títulos",0,"dinheiro",1,0,"base.main_company","15","current","other"
"18","18","Outras Aplicações de Teouraria",0,"razao",1,0,"base.main_company","1","current","view"
"19","19","Prov. para Aplicações de Tesouraria",0,"razao",1,0,"base.main_company","1","current","view"
"195","195","Títulos Negociáveis",0,"vista",1,0,"base.main_company","19","current","view"
"1951","1951","Acções",0,"dinheiro",1,0,"base.main_company","195","current","other"
"1952","1952","Obrigações e Títulos de Particip.",0,"dinheiro",1,0,"base.main_company","195","current","other"
"1953","1953","Títulos da Dívida Pública",0,"dinheiro",1,0,"base.main_company","195","current","other"
"1959","1959","Outros Títulos",0,"dinheiro",1,0,"base.main_company","195","current","other"
"198","198","Outras Aplicações de Tesouraria",0,"dinheiro",1,0,"base.main_company","19","current","other"
"21","21","Clientes",0,"razao",1,0,"base.main_company","2","current","view"
