"id","name","description","amount","account_collected_id:id","account_paid_id:id","base_code_id:id","tax_code_id:id","ref_tax_code_id:id"
"MLON","Mad Liquidado OBS normal","MLON","0.14","24331221",,"M03","M04","M40"
"MLOR","Mad Liquidado OBS reduzida","MLOR","0.04","24331211",,"M01","M02","M40"
"MDER","Mad Dedutível Existencias Reduzida","MDER","0.04","2432111","24342211",,"M21","M41"
"MDEN","Mad Dedutível Existencias Normal","MDEN","0.14","2432121","24342221",,"M22","M41"
"MDEI","Mad Dedutível Existencias Intermédia","MDEI","0.08","2432131","24342231",,"M23","M41"
"MDIR","Mad Dedutível Imobilizado Reduzida","MDIR","0.04",,"24342212",,"M20","M41"
"MDIN","Mad Dedutível Imobilizado Normal","MDIN","0.14","2432221","24342222",,"M20","M41"
"MDOR","Mad Dedutível OBS Reduzida","MDOR","0.04","2432311","24342213",,"M24","M41"
"MDON","Mad Dedutível OBS Normal","MDON","0.14","2432321","24342223",,"M24","M41"
"MDOI","Mad Dedutível OBS Intermédia","MDOI","0.08","2432331",,,"M24","M41"
"CLON","Cont Liquidado OBS normal","CLON","0.14",,,"C03","C04","M40"
"CLOR","Cont Liquidado OBS reduzida","CLOR","0.04",,,"C01","C02","M40"
"CDER","Cont Dedutível Existencias Reduzida","CDER","0.04","2432112","24342211",,"C21","M41"
"CDEN","Cont Dedutível Existencias Normal","CDEN","0.14","2432122","24342221",,"C22","M41"
"CDEI","Cont Dedutível Existencias Intermédia","CDEI","0.08","2432132","24342231",,"C23","M41"
"CDIR","Cont Dedutível Imobilizado Reduzida","CDIR","0.04",,"24342212",,"C20","M41"
"CDIN","Cont Dedutível Imobilizado Normal","CDIN","0.14","2432222","24342222",,"C20","M41"
"CDOR","Cont Dedutível OBS Reduzida","CDOR","0.04","2432312","24342213",,"C24","M41"
"CDON","Cont Dedutível OBS Normal","CDON","0.14","2432322","24342223",,"C24","M41"
